Family,Name,Base Ticker,Dissemination(s),Learn more
Benchmark Reference Rate,Kaiko CLV Reference Rate,KK_RFR_CLVUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_CLVUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko HOT Reference Rate,KK_RFR_HOTUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_HOTUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ICP Reference Rate ,KK_RFR_ICPUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ICPUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko SRM Reference Rate,KK_RFR_SRMUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_SRMUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko UMA Reference Rate,KK_RFR_UMAUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_UMAUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko USDC Benchmark Reference Rate,KK_BRR_USDCUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_BRR_USDCUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko SOL Benchmark Reference Rate,KK_BRR_SOLUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_BRR_SOLUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko AAVE Reference Rate,KK_RFR_AAVEUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_AAVEUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko XRP Benchmark Reference Rate,KK_BRR_XRPUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_BRR_XRPUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ATLAS Reference Rate,KK_RFR_ATLASUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ATLASUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko BTC Reference Rate,KK_RFR_BTCUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_BTCUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko BTT Reference Rate,KK_RFR_BTTUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_BTTUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ETHIX Reference Rate,KK_RFR_ETHIXUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ETHIXUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko LRC Reference Rate,KK_RFR_LRCUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_LRCUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko MATIC Reference Rate,KK_RFR_MATICUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_MATICUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko MEME Reference Rate,KK_RFR_MEMEUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_MEMEUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko VET Reference Rate ,KK_RFR_VETUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_VETUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko NKN Reference Rate,KK_RFR_NKNUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_NKNUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko RVN Reference Rate,KK_RFR_RVNUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_RVNUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ZRX Reference Rate,KK_RFR_ZRXUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ZRXUSD"" target=""_blank"">Explore performance</a>"
